event_id,event_name,agency_id,agency_name,agency_type,item_code,item_name,unit,movement_tracked,opening_qty,received_qty,issued_qty,balance_qty,data_status
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,700,0,0,700,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,133,0,0,133,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,8000,0,0,8000,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,BOOTS,รองเท้าบูท,คู่,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,28,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,55,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,89300,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,75400,recorded
1,อุทกภัย จ.สตูล,1,รพท.สตูล,รพท,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,800,300,100,1000,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,300,0,0,300,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,110,0,0,110,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,12500,4000,0,16500,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,BOOTS,รองเท้าบูท,คู่,1,11,0,0,11,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,24,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,103,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,10000,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,10000,recorded
1,อุทกภัย จ.สตูล,2,รพช.ละงู,รพช,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,48,0,0,48,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,50,0,0,50,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,70,0,0,70,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,500,0,0,500,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,BOOTS,รองเท้าบูท,คู่,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,30,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,200,recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,,not_recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,,not_recorded
1,อุทกภัย จ.สตูล,3,รพช.ควนกาหลง,รพช,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,200,0,0,200,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,195,0,0,195,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,300,0,0,300,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,400,0,0,400,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,BOOTS,รองเท้าบูท,คู่,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,42,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,77,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,9000,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,9000,recorded
1,อุทกภัย จ.สตูล,4,รพช.ท่าแพ,รพช,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,100,0,0,100,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,100,0,0,100,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,1636,0,0,1636,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,BOOTS,รองเท้าบูท,คู่,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,10,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,25,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,2000,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,2000,recorded
1,อุทกภัย จ.สตูล,5,รพช.ควนโดน,รพช,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,300,0,0,300,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,50,0,0,50,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,100,0,0,100,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,250,0,0,250,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,BOOTS,รองเท้าบูท,คู่,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,10,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,24,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,10550,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,15900,recorded
1,อุทกภัย จ.สตูล,6,รพช.ทุ่งหว้า,รพช,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,150,0,50,100,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,20,0,0,20,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,20,0,0,20,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,3500,0,1500,2000,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,BOOTS,รองเท้าบูท,คู่,1,0,0,0,0,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,10,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,20,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,3800,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,8800,recorded
1,อุทกภัย จ.สตูล,7,รพช.มะนัง,รพช,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,RELIEF_KIT,ชุดยาช่วยเหลือผู้ประสบภัย,ชุด,1,550,0,150,400,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,SELF_PACKED_KIT,ชุดยาจัดเอง,ชุด,1,436,251,675,12,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,FOOT_MED,ยาน้ำกัดเท้า (whitfield + บาบาพิทักษ์),หน่วย,1,3174,0,829,2345,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,DOXY_100MG,ยา doxycycline 100 mg,เม็ด,1,30500,0,2550,27950,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,BOOTS,รองเท้าบูท,คู่,1,5,0,0,5,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,COBRA_SERUM,Serum งูเห่า,ขวด,0,,,,0,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,PIT_VIPER_SERUM,Serum งูกะปะ,ขวด,0,,,,0,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,MED_GLOVES,ถุงมือยางทางการแพทย์,คู่,0,,,,0,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,SURGICAL_MASK,หน้ากากอนามัย,ชิ้น,0,,,,18000,recorded
1,อุทกภัย จ.สตูล,8,สสจ.สตูล,สสจ,LIFE_JACKET,เสื้อชูชีพ,ตัว,0,,,,0,recorded
